Year,Age,Number
1990,15-24,253.73
1990,25-34,262.53
1990,35-44,210.53
1990,45-54,131.68
1990,55-64,61.93
1990,65+,19.08
1991,15-24,252.12
1991,25-34,268.52
1991,35-44,218.13
1991,45-54,134.95
1991,55-64,63.55
1991,65+,19.95
1992,15-24,249.82
1992,25-34,275.16
1992,35-44,224.97
1992,45-54,138.44
1992,55-64,65.53
1992,65+,20.92
1993,15-24,246.61
1993,25-34,282.01
1993,35-44,230.78
1993,45-54,141.99
1993,55-64,67.41
1993,65+,21.61
1994,15-24,244.65
1994,25-34,289.68
1994,35-44,237.02
1994,45-54,146.92
1994,55-64,69.33
1994,65+,22.6
1995,15-24,242.07
1995,25-34,295.42
1995,35-44,242.57
1995,45-54,152.35
1995,55-64,71.4
1995,65+,23.64
1996,15-24,239.64
1996,25-34,300.76
1996,35-44,247.96
1996,45-54,158.81
1996,55-64,72.83
1996,65+,24.75
1997,15-24,237.29
1997,25-34,304.82
1997,35-44,253.44
1997,45-54,166.4
1997,55-64,74.5
1997,65+,26.12
1998,15-24,235.2
1998,25-34,308.66
1998,35-44,257.8
1998,45-54,174.65
1998,55-64,75.66
1998,65+,27.19
1999,15-24,235.81
1999,25-34,311.95
1999,35-44,263.95
1999,45-54,182.65
1999,55-64,78.27
1999,65+,28.92
2000,15-24,235.48
2000,25-34,313.94
2000,35-44,269.7
2000,45-54,189.7
2000,55-64,80.54
2000,65+,30.11
2001,15-24,236.53
2001,25-34,315.04
2001,35-44,276.23
2001,45-54,196.16
2001,55-64,82.85
2001,65+,30.99
2002,15-24,239.12
2002,25-34,315.83
2002,35-44,282.73
2002,45-54,202.1
2002,55-64,86.13
2002,65+,31.9
2003,15-24,240.97
2003,25-34,315.82
2003,35-44,290.38
2003,45-54,208.09
2003,55-64,90.09
2003,65+,33.5
2004,15-24,243.6
2004,25-34,316.54
2004,35-44,297.65
2004,45-54,213.55
2004,55-64,94.46
2004,65+,34.51
2005,15-24,245.51
2005,25-34,317.65
2005,35-44,304.52
2005,45-54,219.5
2005,55-64,99.53
2005,65+,35.74
2006,15-24,243.61
2006,25-34,317.1
2006,35-44,308.62
2006,45-54,224.13
2006,55-64,103.75
2006,65+,36.42
2007,15-24,241.17
2007,25-34,316.63
2007,35-44,311.88
2007,45-54,228.68
2007,55-64,108.79
2007,65+,37.53
2008,15-24,238.87
2008,25-34,316.35
2008,35-44,314.37
2008,45-54,233.05
2008,55-64,113.98
2008,65+,38.47
2009,15-24,235.31
2009,25-34,317.44
2009,35-44,316.17
2009,45-54,237.92
2009,55-64,119.07
2009,65+,39.2
2010,15-24,230.06
2010,25-34,319.48
2010,35-44,316.63
2010,45-54,243.2
2010,55-64,123.6
2010,65+,40.22
2011,15-24,226.96
2011,25-34,324.03
2011,35-44,317.57
2011,45-54,248.59
2011,55-64,127.73
2011,65+,40.85
2012,15-24,223.32
2012,25-34,330.62
2012,35-44,318.03
2012,45-54,254.21
2012,55-64,131.55
2012,65+,42.14
2013,15-24,219.6
2013,25-34,337.7
2013,35-44,318.45
2013,45-54,260.85
2013,55-64,135.96
2013,65+,43.6
2014,15-24,216.17
2014,25-34,344.68
2014,35-44,319.1
2014,45-54,267.22
2014,55-64,140.44
2014,65+,45.43
2015,15-24,214.58
2015,25-34,350.1
2015,35-44,320.08
2015,45-54,272.64
2015,55-64,144.41
2015,65+,47.25
2016,15-24,213.44
2016,25-34,354.5
2016,35-44,321.51
2016,45-54,277.44
2016,55-64,148.14
2016,65+,49.25
2017,15-24,212.74
2017,25-34,357.81
2017,35-44,323.31
2017,45-54,281.8
2017,55-64,151.97
2017,65+,51.4
2018,15-24,212.49
2018,25-34,359.92
2018,35-44,325.77
2018,45-54,285.63
2018,55-64,155.97
2018,65+,53.66
2019,15-24,212.64
2019,25-34,360.76
2019,35-44,329.27
2019,45-54,288.8
2019,55-64,160.2
2019,65+,55.97
2020,15-24,213.14
2020,25-34,360.36
2020,35-44,333.98
2020,45-54,291.28
2020,55-64,164.68
2020,65+,58.32
2021,15-24,214.14
2021,25-34,358.84
2021,35-44,339.97
2021,45-54,293.03
2021,55-64,169.05
2021,65+,60.7
2022,15-24,215.59
2022,25-34,356
2022,35-44,347.19
2022,45-54,294.14
2022,55-64,173.69
2022,65+,63.07
2023,15-24,217.41
2023,25-34,352.45
2023,35-44,354.94
2023,45-54,294.93
2023,55-64,178.44
2023,65+,65.48
2024,15-24,219.45
2024,25-34,349.1
2024,35-44,362.13
2024,45-54,295.91
2024,55-64,183.07
2024,65+,67.99
2025,15-24,221.6
2025,25-34,346.55
2025,35-44,368.06
2025,45-54,297.41
2025,55-64,187.42
2025,65+,70.65
2026,15-24,223.97
2026,25-34,344.9
2026,35-44,372.91
2026,45-54,299.31
2026,55-64,191.15
2026,65+,73.39
2027,15-24,226.43
2027,25-34,344.12
2027,35-44,376.61
2027,45-54,301.67
2027,55-64,194.69
2027,65+,76.21
2028,15-24,228.92
2028,25-34,344.17
2028,35-44,379.06
2028,45-54,304.69
2028,55-64,197.97
2028,65+,79.14
2029,15-24,231.36
2029,25-34,344.9
2029,35-44,380.22
2029,45-54,308.66
2029,55-64,200.84
2029,65+,82.19
2030,15-24,233.7
2030,25-34,346.2
2030,35-44,380.1
2030,45-54,313.7
2030,55-64,203.25
2030,65+,85.39
